"id","type","age","postal_code","suspicious_label"
427,"private",68,65250,0
428,"private",84,22143,NA
429,"private",49,70519,0
430,"private",78,65584,0
431,"private",70,41089,0
432,"private",65,22496,NA
433,"private",32,35762,1
434,"private",62,80298,NA
435,"private",59,97450,0
436,"private",40,50007,1
437,"private",74,90897,NA
438,"private",95,65734,NA
439,"private",79,72223,NA
440,"private",91,90500,NA
441,"private",47,21371,NA
442,"private",70,63776,NA
443,"private",71,30238,0
444,"private",83,30266,0
445,"private",77,90144,0
446,"private",10,80536,NA
447,"private",39,60814,1
448,"private",37,22434,1
449,"private",11,22166,0
450,"private",9,41431,NA
451,"private",16,40121,NA
452,"private",18,30724,NA
453,"private",19,39882,1
454,"private",16,65479,0
455,"private",9,10028,0
456,"private",11,25410,0
457,"private",20,39827,0
458,"private",16,75375,0
459,"private",24,41472,NA
460,"private",15,39039,NA
461,"private",20,90436,NA
462,"private",26,75925,0
463,"private",23,80811,0
464,"private",23,72683,0
465,"private",18,55577,0
466,"private",34,72470,0
467,"private",28,63501,0
468,"private",24,63405,0
469,"private",23,41343,1
470,"private",21,65669,0
471,"private",22,25792,0
472,"private",26,40534,0
473,"private",23,62368,NA
474,"private",34,39421,1
475,"private",44,60909,NA
476,"private",35,10848,0
477,"private",35,39196,1
478,"private",35,62400,0
479,"private",38,50138,0
480,"private",24,90837,1
481,"private",46,65446,0
482,"private",28,85803,NA
483,"private",17,58004,1
484,"private",40,97403,0
485,"private",38,70935,0
486,"private",40,30864,0
487,"private",50,62771,0
488,"private",42,55100,NA
489,"private",19,20600,1
490,"private",37,90356,0
491,"private",28,22119,1
492,"private",42,10924,0
493,"private",44,35439,0
494,"private",46,70601,0
495,"private",39,70149,0
496,"private",56,11503,NA
497,"private",47,40821,0
498,"private",40,58165,0
499,"private",64,60271,0
500,"private",43,63759,0
501,"private",53,25837,NA
502,"private",50,25795,0
503,"private",44,39239,NA
504,"private",53,62098,NA
505,"private",59,60225,NA
506,"private",56,90396,0
507,"private",64,62024,NA
508,"private",63,40533,0
509,"private",57,40497,0
510,"private",57,22884,0
511,"private",64,85304,0
512,"private",56,62085,0
513,"private",70,35040,0
514,"private",54,90732,0
515,"private",88,70486,0
516,"private",58,39896,0
517,"private",69,20724,0
518,"private",74,80846,NA
519,"private",77,65485,0
520,"private",21,80912,1
521,"private",71,22862,0
522,"private",53,39203,NA
523,"private",53,11022,0
524,"private",78,65767,0
525,"private",76,72369,0
526,"private",71,58270,0
527,"private",84,40414,0
528,"private",77,10792,NA
529,"private",79,25496,0
530,"private",60,80546,NA
531,"private",7,30031,0
532,"private",17,40765,0
533,"private",12,35941,0
534,"private",7,39234,0
535,"private",15,85856,NA
536,"private",16,10828,0
537,"private",18,21373,0
538,"private",28,11699,NA
539,"private",15,72417,0
540,"private",13,50014,0
541,"private",23,10415,NA
542,"private",17,39299,1
543,"private",21,70744,0
544,"private",28,30577,NA
545,"private",23,85018,1
546,"private",20,90092,NA
547,"private",26,70548,0
548,"private",17,40813,0
549,"private",23,72585,0
550,"private",30,90770,NA
551,"private",24,30715,0
552,"private",20,20851,0
553,"private",27,80045,0
554,"private",38,30004,0
555,"private",43,63287,0
556,"private",31,58499,1
557,"private",20,10158,0
558,"private",24,58345,0
559,"private",25,35204,0
560,"private",32,58737,0
561,"private",23,60964,0
562,"private",35,90399,0
563,"private",44,80034,0
564,"private",45,80584,1
565,"private",35,22681,1
566,"private",34,40210,0
567,"private",55,20699,0
568,"private",27,97528,NA
569,"private",33,55568,0
570,"private",40,40913,1
571,"private",32,70207,0
572,"private",36,70603,NA
573,"private",54,97976,NA
574,"private",46,72008,0
575,"private",52,22806,0
576,"private",48,60185,1
577,"private",44,60658,0
578,"private",31,65177,1
579,"private",55,22260,0
580,"private",48,58310,0
581,"private",58,55057,0
582,"private",50,75111,0
583,"private",16,65289,1
584,"private",53,80071,0
585,"private",59,62122,NA
586,"private",23,65695,NA
587,"private",67,39726,0
588,"private",60,70127,0
589,"private",57,30744,0
590,"private",64,85032,0
591,"private",25,55194,1
592,"private",48,85161,0
593,"private",59,65842,NA
594,"private",27,58085,1
595,"private",66,41598,0
596,"private",57,11725,0
597,"private",46,10723,NA
598,"private",27,60928,1
599,"private",20,63798,1
600,"private",60,40831,0
601,"private",59,70738,0
602,"private",56,75695,0
603,"private",24,63233,1
604,"private",61,40494,0
605,"private",65,80868,0
606,"private",49,58708,0
607,"private",19,50770,1
608,"private",71,30244,0
609,"private",62,40887,NA
610,"private",82,70098,0
611,"private",57,55567,0
612,"private",85,11330,0
613,"private",82,40706,0
614,"private",75,21514,0
615,"private",70,50911,0
616,"private",75,85962,NA
617,"private",75,90931,0
618,"private",90,20152,0
619,"private",96,70491,0
620,"private",83,40549,0
621,"private",10,35118,NA
622,"private",8,22638,0
623,"private",12,97057,0
624,"private",17,85039,NA
625,"private",20,30461,NA
626,"private",23,41337,NA
627,"private",31,60994,1
628,"private",10,80824,0
629,"private",19,35577,0
630,"private",21,90167,0
631,"private",26,63006,0
632,"private",20,22226,0
633,"private",35,58645,1
634,"private",33,35269,NA
635,"private",32,85388,1
636,"private",19,85433,NA
637,"private",19,22925,NA
638,"private",17,35877,0
639,"private",17,55101,0
640,"private",27,63953,NA
641,"private",30,97544,1
642,"private",22,21552,0
643,"private",24,25856,0
644,"private",25,70577,1
645,"private",35,21456,0
646,"private",33,50439,NA
647,"private",18,58749,NA
648,"private",16,39141,0
649,"private",24,75223,1
650,"private",33,39301,0
651,"private",34,30448,1
652,"private",28,21690,NA
653,"private",36,10343,0
654,"private",43,58764,1
655,"private",29,50125,0
656,"private",42,20941,NA
657,"private",45,65602,1
658,"private",33,72099,1
659,"private",39,65867,0
660,"private",37,20601,1
661,"private",35,80942,NA
662,"private",39,21417,0
663,"private",44,35105,0
664,"private",37,22855,NA
665,"private",36,40641,NA
666,"private",43,41661,NA
667,"private",47,60130,0
668,"private",40,41775,0
669,"private",64,25822,NA
670,"private",41,62502,NA
671,"private",49,30091,NA
672,"private",49,90494,0
673,"private",46,22278,NA
674,"private",46,30624,NA
675,"private",22,10352,NA
676,"private",47,85200,0
677,"private",48,62096,0
678,"private",67,50604,NA
679,"private",50,50879,0
680,"private",22,55426,1
681,"private",60,90193,0
682,"private",55,30642,0
683,"private",57,75733,NA
684,"private",59,70651,0
685,"private",21,72049,1
686,"private",60,30727,0
687,"private",27,11115,1
688,"private",56,50518,0
689,"private",55,65159,NA
690,"private",47,21363,NA
691,"private",49,11649,0
692,"private",61,10379,0
693,"private",68,40214,0
694,"private",55,40954,0
695,"private",74,20458,0
696,"private",70,20284,0
697,"private",71,75767,0
698,"private",59,58470,NA
699,"private",67,85941,0
700,"private",29,72822,1
701,"private",92,80225,0
702,"private",75,20738,0
703,"private",76,80819,0
704,"private",52,10388,0
705,"private",74,62600,NA
706,"private",93,85313,NA
707,"private",29,97440,NA
708,"private",82,65975,0
709,"private",92,30264,NA
710,"private",78,80997,0
711,"private",72,25300,NA
712,"private",82,90440,NA
713,"private",15,97167,0
714,"private",17,85167,NA
715,"private",11,58452,NA
716,"private",11,25930,0
717,"private",9,72850,NA
718,"private",15,40943,0
719,"private",15,80844,0
720,"private",16,11601,NA
721,"private",22,40647,0
722,"private",22,55696,0
723,"private",18,35672,NA
724,"private",21,72874,0
725,"private",22,72223,0
726,"private",17,10402,NA
727,"private",20,97805,0
728,"private",22,63399,0
729,"private",22,41821,0
730,"private",26,70870,0
731,"private",18,97450,1
732,"private",25,20843,1
733,"private",29,20186,0
734,"private",22,11407,0
735,"private",26,85014,NA
736,"private",27,30676,0
737,"private",31,11156,0
738,"private",32,75256,1
739,"private",32,20221,0
740,"private",30,50749,NA
741,"private",41,85735,1
742,"private",32,72828,0
743,"private",31,50064,1
744,"private",45,41826,0
745,"private",21,70645,0
746,"private",32,10664,NA
747,"private",37,39545,0
748,"private",31,25709,NA
749,"private",34,40854,0
750,"private",43,22437,NA
751,"private",34,20401,0
752,"private",35,80830,0
753,"private",44,40995,0
754,"private",48,55708,0
755,"private",39,62234,0
756,"private",35,70411,1
757,"private",38,70414,0
758,"private",36,63597,0
759,"private",48,60159,0
760,"private",43,41705,NA
761,"private",48,90091,NA
762,"private",48,50362,0
763,"private",54,50355,0
764,"private",47,90193,NA
765,"private",62,60721,0
766,"private",59,72062,NA
767,"private",61,11891,NA
768,"private",38,39521,NA
769,"private",45,80001,NA
770,"private",59,72446,0
771,"private",38,21059,1
772,"private",58,63895,0
773,"private",61,30162,0
774,"private",59,75504,NA
775,"private",59,21698,NA
776,"private",66,97724,NA
777,"private",56,85237,0
778,"private",36,60446,1
779,"private",54,21527,0
780,"private",73,40926,0
781,"private",81,70275,0
782,"private",60,62444,0
783,"private",65,65777,0
784,"private",56,63436,0
785,"private",70,97811,0
786,"private",67,80961,0
787,"private",72,40939,NA
788,"private",33,50474,1
789,"private",70,41228,NA
790,"private",67,40366,0
791,"private",83,63413,NA
792,"private",73,39361,NA
793,"private",82,40136,0
794,"private",86,58011,0
795,"private",75,70789,0
796,"private",74,21649,NA
797,"private",40,39066,1
798,"private",5,50800,0
799,"private",37,50515,NA
800,"private",7,58075,0
801,"private",10,85375,NA
802,"private",13,70168,0
803,"private",29,60967,1
804,"private",11,25280,0
805,"private",7,97251,0
806,"private",13,90802,0
807,"private",12,75187,0
808,"private",46,25436,1
809,"private",13,63148,NA
810,"private",23,30776,0
811,"private",22,22398,NA
812,"private",27,10585,0
813,"private",22,41361,0
814,"private",21,58729,1
815,"private",25,41408,1
816,"private",24,22493,0
817,"private",31,39274,NA
818,"private",20,55603,0
819,"private",22,55738,NA
820,"private",24,70816,0
821,"private",37,41183,0
822,"private",19,60081,1
823,"private",23,39752,1
824,"private",24,10110,1
825,"private",24,30249,1
826,"private",30,80922,0
827,"private",29,21699,0
828,"private",29,90736,0
829,"private",31,25963,NA
830,"private",22,40996,0
831,"private",50,35493,0
832,"private",28,75316,0
833,"private",33,60588,0
834,"private",28,21021,NA
835,"private",27,60651,1
836,"private",42,25767,NA
837,"private",34,63552,NA
838,"private",25,39945,1
839,"private",46,22854,NA
840,"private",28,72108,1
841,"private",43,90678,0
842,"private",40,20973,0
843,"private",44,75658,0
844,"private",25,75735,1
845,"private",38,58058,0
846,"private",49,11062,0
847,"private",46,20709,NA
848,"private",57,62561,NA
849,"private",50,41016,NA
850,"private",24,20850,1
851,"private",54,70295,0
852,"private",50,50130,NA
853,"private",47,39317,0
854,"private",35,41605,1
855,"private",55,85988,0
856,"private",57,40590,NA
857,"private",62,70955,0
858,"private",61,11156,0
859,"private",52,10994,0
860,"private",66,65002,0
861,"private",61,85409,0
862,"private",76,72461,0
863,"private",60,90889,0
864,"private",58,58012,0
865,"private",62,10386,0
866,"private",74,11548,0
867,"private",44,41632,NA
868,"private",58,39759,NA
869,"private",84,97569,0
870,"private",60,50036,0
871,"private",23,22317,NA
872,"private",54,62045,NA
873,"private",36,21501,1
874,"private",30,40266,1
875,"private",66,60533,0
876,"private",66,50698,NA
877,"private",83,35080,0
878,"private",62,63717,0
879,"private",36,55720,1
880,"private",65,80186,0
881,"private",68,39603,NA
882,"private",72,10067,NA
883,"private",79,22239,0
884,"private",51,11607,0
885,"private",72,35363,NA
886,"private",82,40454,NA
887,"private",99,40768,0
888,"private",83,85545,0
889,"private",11,22094,0
890,"private",14,80821,0
891,"private",27,41833,1
892,"private",38,85725,NA
893,"private",6,30497,0
894,"private",6,25553,0
895,"private",20,70755,NA
896,"private",23,60552,0
897,"private",12,90961,0
898,"private",12,97282,NA
899,"private",23,70094,NA
900,"private",20,41270,0
901,"private",15,70862,0
902,"private",15,90652,0
903,"private",38,21320,0
904,"private",22,11138,0
905,"private",29,80272,0
906,"private",39,97067,1
907,"private",28,60709,0
908,"private",39,50975,0
909,"private",17,62674,NA
910,"private",26,62595,0
911,"private",30,60726,0
912,"private",27,55294,NA
913,"private",31,21217,0
914,"private",36,20944,0
915,"private",42,63458,1
916,"private",29,10008,NA
917,"private",35,63697,1
918,"private",44,30682,0
919,"private",28,80311,NA
920,"private",43,35782,1
921,"private",32,62912,NA
922,"private",49,60818,NA
923,"private",29,21279,NA
924,"private",36,50450,0
925,"private",36,58636,NA
926,"private",42,55360,NA
927,"private",39,97776,NA
928,"private",32,40280,NA
929,"private",48,55989,0
930,"private",43,97604,NA
931,"private",50,25911,0
932,"private",46,30883,0
933,"private",53,41094,0
934,"private",45,55552,0
935,"private",63,39865,0
936,"private",50,30770,0
937,"private",51,70454,0
938,"private",56,63606,NA
939,"private",43,25043,0
940,"private",46,11384,0
941,"private",51,97561,0
942,"private",13,55681,1
943,"private",66,72392,NA
944,"private",65,21248,0
945,"private",55,35045,0
946,"private",71,40793,0
947,"private",44,21574,0
948,"private",55,60228,NA
949,"private",55,97987,0
950,"private",69,70798,0
951,"private",54,11465,NA
952,"private",24,58110,NA
953,"private",17,80132,1
954,"private",52,20969,0
955,"private",62,55844,0
956,"private",54,58326,0
957,"private",66,40830,0
958,"private",73,55477,0
959,"private",20,58663,1
960,"private",82,39026,0
961,"private",74,55769,0
962,"private",68,35054,0
963,"private",86,10538,0
964,"private",86,58942,0
965,"private",87,70263,0
966,"private",20,25594,1
967,"private",76,70933,NA
968,"private",84,21870,0
969,"private",24,60436,NA
970,"private",76,97799,0
971,"private",79,65122,0
972,"private",25,11478,1
973,"private",15,75568,0
974,"private",15,70615,0
975,"private",10,41778,0
976,"private",13,90056,NA
977,"private",15,80059,NA
978,"private",19,72560,NA
979,"private",14,41756,0
980,"private",20,20171,NA
981,"private",16,72475,NA
982,"private",25,20628,NA
983,"private",18,55673,NA
984,"private",19,25038,0
985,"private",22,22222,0
986,"private",34,80860,1
987,"private",19,22733,0
988,"private",18,90161,NA
989,"private",27,41011,0
990,"private",17,11345,0
991,"private",32,22039,NA
992,"private",29,62094,0
993,"private",31,90008,NA
994,"private",22,11175,NA
995,"private",21,55194,0
996,"private",24,40110,0
997,"private",27,58981,1
998,"private",39,10526,1
999,"private",32,10951,0
1000,"private",21,11528,0
1001,"private",27,70624,0
1002,"private",34,25731,1
1003,"private",32,55651,1
1004,"private",32,21710,NA
1005,"private",22,75147,0
1006,"private",28,58605,0
1007,"private",26,11701,0
1008,"private",41,60372,0
1009,"private",53,80984,0
1010,"private",39,62217,0
1011,"private",30,41814,0
1012,"private",41,65640,NA
1013,"private",38,85976,0
1014,"private",30,75232,1
1015,"private",40,11213,0
1016,"private",35,90887,1
1017,"private",43,63108,0
1018,"private",48,11362,0
1019,"private",58,39859,NA
1020,"private",40,35375,0
1021,"private",42,21296,0
1022,"private",48,25838,NA
1023,"private",48,20558,NA
1024,"private",55,21369,1
1025,"private",42,80085,1
1026,"private",58,10395,NA
1027,"private",43,97648,1
1028,"private",51,11158,0
1029,"private",51,58133,0
1030,"private",54,90576,0
1031,"private",66,20908,0
1032,"private",61,21645,NA
1033,"private",50,22823,0
1034,"private",57,75707,NA
1035,"private",63,65570,0
1036,"private",56,11221,0
1037,"private",58,85509,0
1038,"private",67,25359,0
1039,"private",43,97816,NA
1040,"private",51,40705,NA
1041,"private",53,72289,NA
1042,"private",69,80351,0
1043,"private",62,22164,0
1044,"private",60,60170,0
1045,"private",63,90854,0
1046,"private",13,65724,1
1047,"private",16,40041,1
1048,"private",74,60619,NA
1049,"private",25,30809,1
1050,"private",77,97181,NA
1051,"private",69,20268,NA
1052,"private",30,21482,1
1053,"private",76,97635,0
1054,"private",79,60153,NA
1055,"private",73,22549,0
1056,"private",65,72568,0
1057,"private",65,39409,NA
1058,"private",22,30658,1
1059,"private",64,11321,0
1060,"private",80,90281,NA
1061,"private",79,30383,0
1062,"private",92,58545,0
1063,"private",75,62681,0
1064,"private",79,80229,0
1065,"private",13,10310,0
1066,"private",3,25832,NA
1067,"private",11,58278,0
1068,"private",16,80784,0
1069,"private",14,75456,0
1070,"private",19,41546,0
1071,"private",21,85614,0
1072,"private",10,58155,0
1073,"private",24,41107,1
1074,"private",18,62746,0
1075,"private",21,21308,1
1076,"private",19,35273,0
1077,"private",11,65675,0
1078,"private",20,11643,0
1079,"private",18,41291,0
1080,"private",28,70280,0
1081,"private",28,90972,1
1082,"private",20,85885,0
1083,"private",26,41266,NA
1084,"private",24,11371,0
1085,"private",29,85306,0
1086,"private",32,97767,0
1087,"private",27,50982,0
1088,"private",27,41304,0
1089,"private",27,63269,0
1090,"private",32,72729,0
1091,"private",37,97341,NA
1092,"private",37,50789,NA
1093,"private",28,22060,NA
1094,"private",30,63213,NA
1095,"private",48,97239,0
1096,"private",39,90714,0
1097,"private",39,39691,0
1098,"private",40,80418,NA
1099,"private",41,11045,NA
1100,"private",37,55702,0
1101,"private",47,58648,0
1102,"private",55,65416,NA
1103,"private",49,90239,NA
1104,"private",54,41022,0
1105,"private",42,70874,0
1106,"private",17,97972,NA
1107,"private",59,25630,0
1108,"private",60,72983,NA
1109,"private",50,60605,0
1110,"private",49,97244,0
1111,"private",43,11884,1
1112,"private",60,65247,0
1113,"private",43,41394,0
1114,"private",52,10812,NA
1115,"private",63,63514,0
1116,"private",52,85962,0
1117,"private",56,62778,NA
1118,"private",50,25553,0
1119,"private",23,70069,1
1120,"private",64,90833,NA
1121,"private",56,11889,0
1122,"private",61,55875,NA
1123,"private",57,22728,0
1124,"private",55,63189,0
1125,"private",47,80920,0
1126,"private",34,55707,1
